"aid","author_last_name","author_fore_name"
601,"Maas","A J"
602,"Zimmerman","A N"
603,"Meijler","F L"
604,"Schomerus","H"
605,"Buchta","I"
606,"Arndt","H"
607,"Paul","M"
608,"Epel","D"
609,"Michalopoulos","G"
610,"Pitot","H C"
611,"Schmid","V"
612,"Furuno","I"
613,"Matsudaira","H"
614,"Connolly","D T"
615,"Oppenheimer","S B"
616,"Collier","J R"
617,"Wood","S"
618,"Bossart","W"
619,"Loeffler","H"
620,"Bienz","K"
621,"Dunn","C D"
622,"Napier","J A"
623,"Chimenti","F"
624,"Vomero","S"
625,"Sorokin","N N"
626,"Volozhin","S I"
627,"Kiselev","A F"
628,"Shibaeva","A N"
629,"Galakhov","E V"
630,"Zhiliaeva","E P"
631,"Sobolev","V I"
632,"Pevnyĭ","S A"
633,"Zourlas","P A"
634,"Antonovski","L"
635,"Ljatkova","K"
636,"Sukarov","L L"
637,"Brenner","W E"
638,"Edelman","D A"
639,"Bernard","R P"
640,"Chan","W F"
641,"Ong","H C"
642,"Wong","W P"
643,"Roberts","G C"
644,"McLennan","A G"
645,"Keir","H M"
646,"Jeremy","R"
647,"Davies","H"
648,"Dunn","D B"
649,"Trigg","M M"
650,"Fry","M"
651,"Ngaha","E O"
652,"Plummer","D T"
653,"Okamura","H"
654,"Okazaki","T"
655,"Nakajima","A"
656,"Imamura","K"
657,"Moore","G"
658,"Burford","G"
659,"Lederis","K"
660,"Gluecksohn-Waelsch","S"
661,"Schiffman","M B"
662,"Ledbetter","M L"
663,"Hotchkiss","R D"
664,"Rozniecki","J"
665,"Grabski","W"
666,"Scott","B B"
667,"Hardy","G J"
668,"Losowsky","M S"
669,"Maffei","H V"
670,"Nóbrega","F J"
671,"Dicker","K A"
672,"Löwenberg","B"
673,"Schaefer","U W"
674,"van Bekkum","D W"
675,"Dooren","L J"
676,"de Koning","J"
677,"Kamphuis","R P"
678,"Uittenbogaart","C H"
679,"Brubakk","A M"
680,"Vossen","J M"
681,"Bichoński","R"
682,"Dozaki","T"
683,"Mizukami","S"
684,"Koshiba","H"
685,"Fukushima","T"
686,"Nozaki","M"
687,"Siddiqui","K A"
688,"Banerjee","A K"
689,"Kohoutová","M"
690,"Zemek","J"
691,"Bílik","V"
692,"Zákutná","L"
693,"Panchenko","L F"
694,"Fedotov","N S"
695,"Tarshis","M A"
696,"Kotyk","A"
697,"Michaljanicová","D"
698,"Veres","K"
699,"Soukupová","V"
700,"Elnaghy","M A"
701,"Megalla","S E"
702,"Ginterová","A"
703,"Janotková","O"
704,"Isomaa","B"
705,"Sjöblom","G"
706,"von Ferber","L"
707,"Kawamura","M"
708,"Yamada","T"
709,"Nakahara","M"
710,"Philipps","G R"
711,"Chiemprasert","T"
712,"Koolman","J"
713,"Karlson","P"
714,"Powers","P S"
715,"Powers","H P"
716,"Severinghaus","J W"
717,"Amdur","M A"
718,"Bartley","V H"
719,"Beal","J M"
720,"Breslin","P W"
721,"Tobin","J R"
722,"Nemickas","R"
723,"Scanlon","P J"
724,"Moran","J F"
725,"Johnson","S"
726,"Gunnar","R M"
727,"Seungdamrong","S"
728,"Yasunaga","S"
729,"Johnson","H A"
730,"Greenwood","R D"
731,"Azar-Kia","B"
732,"Palacios","E"
733,"Churchill","R"
734,"Hughey","M"
735,"Shenkoya","K A"
736,"Walsh","W F"
737,"Falicov","R E"
738,"Resnekov","L"
739,"Tsang","H S"
740,"Agarwala","B"
741,"Agarwala","R"
742,"Baffes","T"
743,"Field","R E"
744,"Romanus","R J"
745,"Khedroo","L G"
